allocine_id,titre,titre_original,annee,tmdb_id,imdb_id,tmdb_titre,tmdb_titre_original,tmdb_annee,match_score,match_type
31357,La révolution française,"",1792,,"","","",,,aucun
2186,Le Cabinet du docteur Caligari,Das Cabinet des Dr. Caligari,1922,234,tt0010323,Le Cabinet du docteur Caligari,Das Cabinet des Dr. Caligari,1920,0.9,bon
2239,L'Inhumaine,"",1924,54539,tt0015014,L'Inhumaine,L'Inhumaine,1924,1,excellent
240,Metropolis,"",1927,19,tt0017136,Metropolis,Metropolis,1927,1,excellent
7113,Les Ailes,Wings,1928,28966,tt0018578,Les Ailes,Wings,1927,0.96,excellent
82,L'Ange bleu,Der Blaue Engel,1930,228,tt0020697,L'Ange bleu,Der blaue Engel,1930,1,excellent
2595,La Chienne,"",1931,26614,tt0021739,La Chienne,La Chienne,1931,1,excellent
45978,"Tarzan, l'homme singe",Tarzan the Ape Man,1932,26845,tt0023551,"Tarzan, l'homme singe",Tarzan the Ape Man,1932,1,excellent
2143,Boudu sauvé des eaux,"",1932,48365,tt0022718,Boudu sauvé des eaux,Boudu sauvé des eaux,1932,1,excellent
296,Scarface,"",1933,877,tt0023427,Scarface,Scarface,1932,0.96,excellent
727,King Kong,"",1933,244,tt0024216,King Kong,King Kong,1933,1,excellent
15168,Amour défendu,Forbidden,1933,136,tt0022913,"Freaks, la monstrueuse parade",Freaks,1932,0.636,faible
3908,La Grande Muraille,The Bitter Tea of General Yen,1933,34187,tt0023814,La grande muraille,The Bitter Tea of General Yen,1932,0.96,excellent
1269,La Soupe au canard,Duck Soup,1934,3063,tt0023969,La soupe au canard,Duck Soup,1933,0.96,excellent
1557,New York-Miami,It Happened One Night,1934,3078,tt0025316,New York - Miami,It Happened One Night,1934,1,excellent
6812,L'Homme qui en savait trop,The Man Who Knew Too Much,1935,8208,tt0025452,L'homme qui en savait trop,The Man Who Knew Too Much,1934,0.96,excellent
6448,La Bandera,"",1935,72400,tt0026095,La Bandera,La Bandera,1935,1,excellent
485,Le Chat noir,The Black Cat,1936,158114,tt0027428,The Case of the Black Cat,The Case of the Black Cat,1936,0.725,incertain
10994,Mon homme Godfrey,My Man Godfrey,1936,13562,tt0028010,Mon homme Godfrey,My Man Godfrey,1936,1,excellent
31179,Furie,Fury,1936,14615,tt0027652,Furie,Fury,1936,1,excellent
2549,L'Extravagant Mr. Deeds,Mr. Deeds Goes to Town,1936,24807,tt0027996,L'Extravagant M. Deeds,Mr. Deeds Goes to Town,1936,1,excellent
338,La grande illusion,"",1937,777,tt0028950,La Grande Illusion,La Grande Illusion,1937,1,excellent
2600,Horizons perdus,Lost Horizon,1937,3598,tt0029162,Les Horizons perdus,Lost Horizon,1937,1,excellent
7179,Le Roman de Marguerite Gautier,Camille,1937,43874,tt0028683,Le Roman de Marguerite Gautier,Camille,1936,0.96,excellent
45848,La Joyeuse suicidée,Nothing Sacred,1938,37650,tt0029322,La Joyeuse Suicidée,Nothing Sacred,1937,0.96,excellent
2367,Vous ne l'emporterez pas avec vous,You Can't Take it With you,1938,34106,tt0030993,Vous ne l'emporterez pas avec vous,You Can't Take It with You,1938,1,excellent
196825,Menaces sur la ville,Racket Busters,1938,78191,tt0030650,Menaces sur la ville,Racket Busters,1938,1,excellent
575,Hôtel du Nord,"",1938,48369,tt0030252,Hôtel du Nord,Hôtel du Nord,1938,1,excellent
1834,La Chevauchée fantastique,Stagecoach,1939,995,tt0031971,La Chevauchée fantastique,Stagecoach,1939,1,excellent
2751,Seuls les anges ont des ailes,Only Angels Have Wings,1939,43832,tt0031762,Seuls les anges ont des ailes,Only Angels Have Wings,1939,1,excellent
307,La Taverne de la Jamaïque,Jamaica Inn,1939,31995,tt0031505,La Taverne de la Jamaïque,Jamaica Inn,1939,1,excellent
2640,Mr. Smith au Sénat,Mr Smith Goes to Washington,1940,3083,tt0031679,Monsieur Smith au Sénat,Mr. Smith Goes to Washington,1939,0.96,excellent
4079,La Main du diable,"",1943,54288,tt0035017,La Main du Diable,La Main du Diable,1943,1,excellent
34879,"Sobibor, 14 octobre 1943, 16 heures","",1943,,"","","",,,aucun
147686,Ceux qui servent en mer,In Which We Serve,1944,28093,tt0034891,Ceux qui servent en mer,In Which We Serve,1942,0.9,bon
327,Les Voyages de Gulliver,Gulliver's Travels,1944,,"","","",,,aucun
679,Rendez-vous,The Shop Around the Corner,1945,26654,tt0037611,La mort n'était pas au rendez-vous,Conflict,1945,0.695,faible
51593,La Cage aux rossignols,"",1945,143065,tt0039234,La Cage aux rossignols,La Cage aux rossignols,1945,1,excellent
939,L'Impossible Monsieur Bébé,Bringing up Baby,1946,,"","","",,,aucun
3402,L'Esprit s'amuse,Blithe Spirit,1946,19072,tt0038363,L'esprit s'amuse,Blithe Spirit,1945,0.96,excellent
7072,Le Voleur de Bagdad,The Thief of Bagdad,1946,12232,tt0033152,Le Voleur de Bagdad,The Thief of Bagdad,1940,0.8,incertain
857,Citizen Kane,"",1946,15,tt0033467,Citizen Kane,Citizen Kane,1941,0.8,incertain
177450,Le Suspect,The Suspect,1946,,"","","",,,aucun
2451,Un revenant,"",1946,64406,tt0039061,Un revenant,Un revenant,1946,1,excellent
2154,Fantasia,"",1946,756,tt0032455,Fantasia,Fantasia,1940,0.8,incertain
2684,La Splendeur des Amberson,The Magnificent Ambersons,1946,965,tt0035015,La Splendeur des Amberson,The Magnificent Ambersons,1942,0.8,incertain
4291,Brève Rencontre,Brief Encounter,1946,851,tt0037558,Brève rencontre,Brief Encounter,1945,0.96,excellent
52122,Le Signe de Zorro,The Mark of Zorro,1946,32093,tt0032762,Le signe de Zorro,The Mark of Zorro,1940,0.8,incertain
2748,Hantise,Gaslight,1947,13528,tt0036855,Hantise,Gaslight,1944,0.8,incertain
19314,Dix petits Indiens,And then There Were None,1947,,"","","",,,aucun
32347,La Charge fantastique,They Died with Their Boots On,1947,17382,tt0034277,La Charge fantastique,They Died with Their Boots On,1941,0.8,incertain
1318,La Lettre,The Letter,1947,,"","","",,,aucun
4302,Une question de vie ou de mort,A Matter of Life and Death,1947,28162,tt0038733,Une question de vie ou de mort,A Matter of Life and Death,1946,0.96,excellent
3689,Une femme dangereuse,They Drive by Night,1947,,"","","",,,aucun
49958,Le Cygne noir,The Black Swan,1947,29882,tt0034522,Le Cygne Noir,The Black Swan,1942,0.8,incertain
1461,Le Grand sommeil,The Big Sleep,1947,910,tt0038355,Le Grand Sommeil,The Big Sleep,1946,0.96,excellent
2541,La Femme au portrait,The Woman in the Window,1947,17136,tt0037469,La Femme au portrait,The Woman in the Window,1944,0.8,incertain
1823,Henry V,The Chronicle History of King Henry the Fifth with his Battell at Agincourt in France,1947,22638,tt0036910,Henry V,The Chronicle History of King Henry the Fifth with His Battell Fought at Agincourt in France,1944,0.8,incertain
29720,Le Port de l'angoisse,To Have and Have Not,1947,22584,tt0037382,Le Port de l'angoisse,To Have and Have Not,1945,0.9,bon
1234,Une Femme cherche son destin,"Now, Voyager",1947,,"","","",,,aucun
5762,La Vie est belle,It's a Wonderful Life,1947,1585,tt0038650,La vie est belle,It's a Wonderful Life,1946,0.96,excellent
3439,Les Grandes espérances,Great Expectations,1947,14320,tt0038574,Les Grandes Espérances,Great Expectations,1946,0.96,excellent
145,Cape et poignard,Cloak and Dagger,1947,,"","","",,,aucun
